店铺名称,id,店铺图片,店铺电话,一级业态,二级业态,产品服务,店铺评分,人均价格,店铺标签,店铺描述,,,,
K22.酸奶草莓,83849,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/de6a5cff2d834f6181b3ae1fb240b86b_fb06db416f348405a789be4d30721101.jpeg,19139855539,生活服务,饮品店,"酸奶,草莓酸奶,酸奶饮品,草莓酸奶饮品,酸奶鲜奶制品",4.4,￥17/人,郑州酸奶鲜奶热门榜第2名,K22.酸奶草莓装修超有特色，风格简约又时尚，拍照超好看📷。主打酸奶草莓，酸奶醇厚，草莓新鲜，一口下去超满足😋。人气单品酸奶草莓杯，颜值高又美味。很适合爱尝鲜的宝子们~无论是逛街累了来一杯，还是下午茶时光享用，都超合适，分分钟让你爱上💖！,,,,
VANS,84069,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/b24f064985534ed1944c8532ed37934a_VANS.jpg,18595852564,购物,鞋类,"滑板鞋,休闲鞋,运动鞋,鞋类配件,服装",3.5,￥543/人,收录6年好店,VANS店铺风格超酷炫，装修超有个性，满满街头潮流感。主打产品是各种超酷的滑板鞋、休闲鞋，经典的棋盘格、老花图案超吸睛。人气单品多到爆，一脚蹬、高帮鞋都超火。无论你是滑板少年，还是时尚弄潮儿，VANS都能满足你！穿上它，瞬间气场两米八，走在街上回头率爆表，赶紧冲！,,,,
华歌尔,83977,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/f2f1ffd626ba4692995d7a851d4e0671_007098df91cff287dbec9cc63890f4f7.jpeg,15639017276,购物,内衣,"内衣,家居服,泳衣,塑身衣,保暖内衣",3.5,￥300/人,,华歌尔主打内衣👙，风格简约又时尚。店铺装修精致，陈列超有条理。人气单品超多，像经典的无钢圈内衣，舒适又聚拢，穿上超舒服😌。还有各种款式的内裤🩲，品质超棒。不管是年轻妹子还是成熟姐姐，都能在这里找到适合自己的内衣好物，真的太赞啦，赶紧冲！,,,,
JUVA欧华医美连锁,84595,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/75a92b51931c42bca91afc0538472ce2_c16986d0bcc1da29ad8ef305595c0627.jpeg,15238026632,生活服务,医疗美容,"整形美容,皮肤美容,微整形,抗衰老治疗,医学纹绣",4.7,￥441/人,郑州医美回头客榜第16名,JUVA欧华医美连锁装修超有格调，风格简约大气又不失时尚感。主打各种医美项目，像皮肤管理、微整啥的都超专业。人气单品光子嫩肤，能有效改善肤色不均。这里有专业的医生团队，服务贴心周到。不管你是想抗初老，还是解决皮肤小烦恼，来这都能找到适合自己的方案，真的超赞👍 赶紧冲！,,,,
13DE MARZO,85091,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/7457ecca632e4d128eea1ab9832f9308_%E9%BB%98%E8%AE%A4logo.png,15517998086,购物,时尚服饰,"服装,鞋履,配饰,箱包,时尚单品",4.8,￥1761/人,,13DE MARZO是一个由Leslie和Eric在2018年于法国巴黎创立的时尚潮流品牌，以玩偶元素（特别是那只可爱的太空小熊）迅速在潮流圈走红。许多明星如王鹤棣、白鹿、周雨彤、赵丽颖、张艺兴、王鹤棣、赵露思、杨超越等都曾在社交平台上为它做过“野生”代言。这只太空熊不仅可爱，还能独立拆卸，方便携带和搭配各种服饰和箱包。,,,,
华为授权体验店,84833,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/0ad390006e9a4d23a801ef241475656b_8474b73b4adbed885f475fccbe01367d.jpeg,,购物,数码产品,"华为手机,华为平板电脑,华为笔记本电脑,华为穿戴设备,华为智能家居产品",3.3,￥1194/人,正弘中心电子数码人气榜第4名,华为授权体验店一进店，科技感十足的装修风格超酷炫。他家主打各种华为产品，从手机到平板，从耳机到智能手表，应有尽有。人气单品华为 P 系列手机，拍照超绝，色彩还原度超高。还有智能手表，功能强大，能实时监测健康数据。不管你是科技爱好者还是想换新装备，这里都能满足你，快来体验吧！,,,,
希思黎,83886,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/d4fde2eafabf48ba9fea316b90494bd7_742b23cb216250962be6731dfc9707c2.jpeg,,购物,化妆品,"护肤品,彩妆,香水,美容护肤服务,个人护理产品",3.7,￥1500/人,收录2年好店,希思黎主打高端护肤美妆，店铺风格超有质感。装修精致大气，一整个爱住。人气单品全能乳液，质地轻盈好吸收，肌肤状态能被狠狠拿捏。全能乳液真的名不虚传，维稳效果超棒！还有黑玫瑰面霜，滋润保湿，用完皮肤水嘟嘟。很适合追求高品质护肤的姐妹，来这儿逛一圈，绝对能找到适合自己的宝贝，狠狠种草！,,,,
CHUU,84051,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/c7e710d3a2304771a7581b9af6a97a29_2f627e14469ea6712fff4bad778456a9.jpeg,15517502080,购物,服装,"女装,男装,童装,配饰,鞋履",3.6,￥349/人,金水区服装热门榜第7名,CHUU主打时尚潮流服饰，店铺风格超吸睛，装修满满ins风🎀，拍照超好看。人气单品超多，各种甜酷风的小裙子，穿上就是女团本团👯。衣服质量也不错，价格还亲民。适合追求个性、热爱时尚的姐妹们，每次去都能挑到心仪的衣服，轻松get时尚大片同款穿搭，狠狠爱住啦💕！ ,,,,
OVV,84939,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/8f0cc1ef12444092be1800dbd7074f6a_5eabae5bbc8c933c4e07f2a3fcf6ed3e.jpeg,15936238054,购物,服装,"女装,男装,童装,配饰,鞋履",3.5,￥1000/人,,OVV主打职场通勤风穿搭，衣服质感超棒👍。店铺装修简约大气，陈列有序。人气单品超多，比如利落的西装、精致的衬衫。穿上它家衣服，瞬间气场两米八😎，特别适合职场丽人。面料舒适，剪裁合身，无论是日常上班还是重要场合都能轻松hold住，分分钟让你成为办公室焦点✨。,,,,
Timberland,84076,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/c76980946ef14b54a18caed02e198169_dfcb3de362ef70a51bcb0b5631a41ed2.jpeg,18595928171,购物,运动户外,"户外运动鞋,户外休闲鞋,户外服装,户外背包,户外配饰",3.6,￥1500/人,,Timberland主打户外工装风，店铺装修超有质感。经典大黄靴必入，防水又耐穿，走在泥地里都不怕。还有各种机能风外套，防风又时尚。很适合热爱户外运动、追求个性的宝子们。店员超热情，会根据你的需求推荐合适的款式。每次逛都忍不住剁手，穿上它感觉自己能征服整个世界🌍！,,,,
安踏,84091,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/79dcab2f6b774ccd8567bf5e01b78640_%E5%AE%89%E8%B8%8F.jpg,13460652373,购物,运动用品,"运动鞋,运动服装,运动背包,运动护具,运动配件",3.4,￥455/人,正弘中心运动户外人气榜第6名,安踏运动装备超全👏。店铺风格简约时尚，装修大气。人气单品多到挑花眼，像老爹鞋，潮流又舒适；运动套装，版型正还透气。无论是日常运动还是出街凹造型都超合适👍。质量更是没话说，耐穿又好看。学生党、运动达人都能在这找到心头好，赶紧冲，让安踏陪你活力满满每一天💪！,,,,
DR·KONG江博士健康鞋,84020,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/74a7f6f337fa4a1daab77f125e5b1117_d15b110cf5b752c4339c8317c3846190.jpeg,18538100849,购物,鞋类销售,健康鞋,3.5,￥311/人,收录6年好店,DR·KONG江博士健康鞋的每双鞋都藏着黑科技，专治娃的X/O型腿、内外八，从此告别错误步态～,,,,
On昂跑,84979,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/d7cc623928ae40cd99cfe0b4b642c1a9_942a3c7c4b0e467e69fadc31ebe21a4a.jpeg,15093363857,购物,运动户外,"运动鞋,运动服装,运动背包,运动配饰,运动器材",3.7,￥990/人,,On昂跑店铺风格简约时尚，装修很有质感。他家主打运动装备，跑鞋超绝，脚感舒适又轻便，助力你尽情奔跑🏃‍♂️。还有运动服饰，设计感满满，兼具时尚与功能性。人气单品众多，好多运动达人都爱。无论你是专业运动员还是运动爱好者，On昂跑都能满足你，快来这里挑选适合自己的运动好物吧🛒！,,,,
阿维塔,84640,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/df768b0a3a2a490c8a1232237b559969_%E9%BB%98%E8%AE%A4logo.png,,生活服务,汽车销售与售后服务,"汽车销售,汽车维修,汽车保养,汽车配件销售,汽车售后服务",4,￥270000/人,,阿维塔主打极具科技感与时尚感的新能源汽车。门店风格超有未来感，装修独特，一进去就被吸引。人气单品阿维塔 11 超吸睛，流畅线条，酷炫外观。适合追求个性、热爱科技的小伙伴。开在路上回头率超高，驾驶体验更是棒呆，智能配置超贴心，感觉自己像是在开未来座驾，狠狠种草！,,,,
dreame追觅,84835,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/d2e0f100eea8495598bee8193420e3b2_59c377e4755d055f20183f64681da349.jpeg,19903805117,购物,家用电器,"扫地机器人,吸尘器,洗地机,吹风机,高速吹风机",4.2,￥3875/人,,dreame追觅店铺风格简约时尚，装修超有科技感✨。主打各种清洁电器，像高速吹风机、扫地机器人等都超厉害👍。人气单品追觅高速吹风机，风又大又均匀，吹干头发还不伤发。适合追求高效便捷生活的宝子们。用了他家产品，真的能让生活轻松不少，分分钟爱上做家务~快来体验吧！,,,,
moodytiger,84885,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/30834904c62d4a03aed7340ef860f6e2_1a7047b5f991c480f7e516b097f2c94a.jpeg,13027520224,购物,"鞋类,服装","儿童运动服饰,儿童运动鞋,儿童运动背包",3.5,￥308/人,,moodytiger风格简约时尚，装修也超有质感。主打运动服饰，面料舒适又透气。人气单品有儿童运动套装，款式多样，色彩超炫。孩子穿上活力满满，运动起来超带劲。无论是日常玩耍还是户外运动，都很合适。宝妈们闭眼入，让宝贝轻松成为运动小达人！,,,,
艾美家,84124,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/b5d2fc61614441448e845f3a68056e28_7c92acdfa0f121d7f3fd58c62ad522c2.jpeg,17796555270,购物,家居用品,"床上用品,窗帘,家居饰品,沙发套,地毯",3.9,￥526/人,收录5年好店,艾美家风格超温馨，装修超有氛围感✨。他家主打各种家居好物，从床上用品到厨房小物件，啥都有。人气单品的质量超棒👍，像柔软的毛毯，盖着超舒服。适合追求品质生活的宝子们~不管是给自己布置温馨小窝，还是挑礼物送人，来这都能挑到满意的，分分钟被种草😍！,,,,
科大讯飞AI学习机专卖店,84855,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/4b36c9ef90b140479e17c090983bbc2a_82c1fb23f7ee495a189fd0c02c78d6ef.jpeg,15736878301,购物,数码产品,科大讯飞AI学习机,4.3,￥9091/人,,科大讯飞AI学习机专卖店，这里主打超厉害的AI学习机📱，能精准分析孩子学习情况，定制专属学习方案。店铺风格简洁明亮✨，装修很有科技感。人气单品就是学习机啦，用过的都说好👍！不管是小学生查漏补缺，还是中学生提升成绩，它都超合适。有了它，孩子学习更高效，家长超省心，赶紧冲！ ,,,,
GUCCI,84922,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/377700d9334547f4ae9bb47536d6e6f4_9e28eb36ab7e0d59ee0eec20b2d151c5.jpeg,19213851982,购物,奢侈品,"服装,鞋履,手袋,配饰,香水",4.5,￥12278/人,收录5年好店,GUCCI店铺风格超有辨识度，装修超奢华。主打各种时尚单品，像经典的双G标志系列，美到爆！人气单品超多，比如 Dionysus酒神包，链条超有个性。他家衣服也超赞，设计独特，品质超棒。适合追求时尚、个性的宝子们。每次逛GUCCI都像在时尚盛宴里，能轻松get到超吸睛的穿搭，爱了爱了！,,,,
b&c,85087,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/418c06f5965745eebb5af614f96aaf51_%E9%BB%98%E8%AE%A4logo.png,17320152366,购物,服装,"服装,鞋类,箱包,饰品,美妆",3.6,￥35/人,郑州服饰鞋包人气榜第2名,b&c法式风格装修，超有氛围感，一整个爱住！人气单品可太多了！黄油与面包香气四溢，拿破仑酥层次丰富，入口即化；惠灵顿牛排牛角包，肉香与奶香完美融合。很适合和小姐妹一起来下午茶~不管是拍照还是品尝美食，都超赞！快冲！,,,,
STARTER,84141,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/bbae36016b094ed0aac24fd5aaadcfa1_STARTER.jpg,13203855507,购物,服装,"服装,鞋类,配饰",3.9,￥200/人,,STARTER主打潮流运动风，店铺装修超有个性，满满街头氛围感。人气单品超多，像经典的 logo 卫衣，简约又时尚，怎么搭都好看。还有那酷炫的运动鞋，上脚超帅。不管你是运动爱好者，还是追求潮流的酷盖，都能在这里找到心头好。每次逛都忍不住剁手，真的太好买啦！🛍️  快冲！ ,,,,
Babycare,84847,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/3facfbe02af44390b958fcd6028fea16_86f81bb45b5f2d8c8ed744693b83fc1b.jpeg,18603838833,购物,母婴用品,"婴儿奶粉,婴儿纸尿裤,婴儿服装,婴儿玩具,婴儿洗护用品",3.6,￥264/人,,Babycare店铺风格简约时尚，装修超有质感。主打产品超多，从宝宝的吃喝拉撒睡用品到玩具，一应俱全。人气单品比如皇室狮子王国纸尿裤，柔软透气超好用。他家东西质量超棒，设计也贴心。不管是新手爸妈还是有经验的，来这都能一站式搞定宝宝所需，轻松养娃没烦恼，赶紧冲！ ,,,,
大人糖,85098,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/fb67be746d8f4e3f99249097437a7ef3_%E9%BB%98%E8%AE%A4logo.png,15938710897,生活服务,成人用品,"情趣用品销售,情趣用品咨询服务,成人用品使用指导,私密护理产品销售,两性健康知识科普",3.9,￥399/人,,大人糖主打情趣用品，风格超独特，装修精致又有格调。人气单品超多，像小海豹，可爱又好用。真实用户反馈都说体验感超棒！不管是单身姐妹想取悦自己，还是情侣间增添情趣，这里都能满足。产品质量超赞，设计贴心。来大人糖，探索不一样的快乐，让生活多些甜蜜惊喜，姐妹们冲就对啦！💕 ,,,,
爪爪先生,84209,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/d03e98f64f3b44a49b78ab4fe62b0328_%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20220715115002.jpg,,休闲娱乐,娃娃机店,"抓娃娃,娃娃售卖,休闲娱乐场地租赁,主题派对策划,娃娃机维修保养",4,￥51/人,郑州游戏厅回头客榜第1名,郑州抓娃娃新地标！正弘城爪爪先生太上头了！🦄 一整个被200+台娃娃机包围的感觉谁懂啊！从顶流玲娜贝尔✨到复古蜡笔小新🖍️，还有国风舞狮挂件🦁和软fufu的小熊🧸，每一款都可爱到尖叫！娃娃质感在线，抓到的快乐直接翻倍～ 周末遛娃👶🏻or闺蜜打卡👯♀️都超适合，随手一拍就是朋友圈C位📸！郑州的抓娃娃星人速来，快乐根本停不下来！,,,,
Saucony索康尼,85034,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/72bff87848d54de4a0fc4bc3d2930bc4_806940b1e9454fda99da2771a8ebd328_%E9%BB%98%E8%AE%A4.jpeg,,购物,运动用品,"运动鞋,运动服装,运动背包,运动配件",3.5,￥500/人,,Saucony索康尼，运动爱好者的宝藏店铺✨ 他家主打专业运动鞋，店铺风格简约时尚。装修充满运动氛围，让人一进店就热血沸腾。人气单品超多，比如Endorphin Pro跑鞋，脚感超棒，轻量又回弹，跑起来超带劲！很适合跑步达人，穿上它仿佛能轻松征服每一条赛道，在运动中尽情释放活力，你也快来感受下吧！,,,,
Shu uemura,84608,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/5b9a61467c92408e99b8202b552aabcc_20d09013c15a6ee288855025ad555245.jpeg,18336380803,购物,化妆品,"彩妆产品,护肤产品,美妆工具",3.3,￥504/人,收录2年好店,Shu uemura的店铺风格超有个性，装修独特，时尚感满满。主打产品那叫一个绝，像砍刀眉笔，顺滑好上手，勾勒出的眉毛超自然。人气单品睫毛夹也超厉害，能夹出太阳花睫毛。无论是新手小白还是美妆达人，都能在这里找到适合自己的好物。快来这里开启你的变美之旅吧！,,,,
GIVENCHY,83877,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/c531330472cb4c629e6a1c173afbd4ad_f8ff22e0b36e7710e5efb67aabbdcfc3.jpeg,37188915736,购物,化妆品,"美妆产品,护肤产品,香水,时尚配饰,服装",3.7,￥672/人,收录3年好店,纪梵希（GIVENCHY）真的太好逛啦！他家店铺风格超有格调，装修精致又大气。明星单品小羊皮口红，色号超全，滋润不拔干，上嘴绝美。四宫格散粉更是绝绝子，定妆力超强，粉质细腻。很适合追求时尚、品质的宝子们。每次来都忍不住剁手，能轻松get到各种高级又好看的美妆好物，爱美的姐妹冲就对啦！,,,,
羽西正弘城,83811,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/6cb6028cb7d643eea6409f8f8bf8ce2d_1a9930f67fa21ff15ff0c7b7c045d473.jpeg,13698850097,购物,化妆品,"羽西品牌化妆品,护肤品,美妆工具,个人护理产品,美容咨询服务",3.5,￥820/人,,羽西正弘城一进店，装修超有质感。主打产品超厉害，虫草焕颜系列能深层滋养肌肤。他家的人气单品虫草焕颜精华，质地滋润好吸收。店员超热情专业，会根据咱肤质推荐。不管是追求抗老的熟龄肌姐妹，还是想改善肌肤状态的宝子，都能在这找到适合自己的好物，快来体验呀！ ,,,,
优衣库,84604,https://openapi.onemap.top/ids/Upload/58/Brand/brand_6249yb19-e915-45bd-aae6-6fb06ac5bb17_0.jpg,0371-55095650,购物,服装零售,"男装,女装,童装,内衣,家居服",4.5,￥172/人,建业凯旋广场购物热门榜第3名,优衣库风格简约舒适，装修宽敞明亮。主打各种基础款和时尚单品，T恤、牛仔裤啥的超经典。人气单品超多，像摇粒绒外套，保暖又好看。无论你是学生党、上班族还是时尚辣妈，都能在这挑到合适的。衣服质量好，价格亲民，逛一圈总能找到心头好，每次去都忍不住剁手，真的太好逛啦！,,,,
Acqua di Parma 帕尔玛之水,83912,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/50ab3305ad3445c796c125784ad2d15a_b2979dab230a0882a6fa666bc6d5dca9.jpeg,,购物,化妆品,"香水,护肤品,美妆产品",4.5,￥207/人,,Acqua di Parma帕尔玛之水店铺风格超有格调，装修精致奢华✨。主打各种高级香水，味道独特迷人。人气单品如格调系列，柑橘与木质香交融，清新又优雅。很适合追求品质生活、喜欢独特香氛的宝子们。在这里，能轻松找到属于自己的那一款专属味道，喷上瞬间气场up，约会、出街都超吸睛😍！,,,,
STACCATO,83987,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/b03dc3035e1340ccbd0a0e1fa757fde8_STACCATO.jpg,13838179149,购物,鞋类,"女鞋,男鞋,鞋靴配饰",3.5,￥948/人,收录6年好店,STACCATO风格超赞，装修时尚又精致✨。主打各种美鞋，款式超丰富，总能挑到心仪的那双。人气单品超多，比如经典的高跟鞋，穿上瞬间气场两米八😎。无论是职场丽人还是时尚潮女，都能在这里找到适合自己的鞋子。上脚舒适又好看，逛街约会穿它，绝对能成为焦点，赶紧冲！,,,,
CHANEL,83884,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/8444d1ab2975441183b83761a3597206_67643cc6c2f84d3faf48eecc51df30dc.jpeg,18695897767,购物,奢侈品,"香奈儿服装,香奈儿香水,香奈儿包包,香奈儿化妆品,香奈儿珠宝",3.4,￥1680/人,郑州奢侈品热门榜第1名,香奈儿（CHANEL）真的绝啦！经典的双 C 标志超吸睛。店铺装修优雅又高级，满满时尚感。它家主打各种美妆好物和时尚单品。像经典的口红，颜色超正，涂上去气场十足；还有优雅的香水，味道独特迷人。无论是时尚弄潮儿还是追求品质生活的姐妹，都能在这里找到心头好，轻松get时尚精致感，狠狠种草！,,,,
小猿学练机,85037,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/c3c6cfe75dcd4149988ab22440dc3ea2_abf9b76bbe335e37b2a93b4d6d4079ba.jpeg,13804025483,生活服务,课后辅导,"课后作业辅导,课程学习辅导,学习习惯培养,学习方法指导,学习进度跟踪",4.4,￥3839/人,,小猿学练机能精准诊断孩子学习薄弱点，针对性辅导。界面简洁，操作方便。店铺风格简约科技感十足。人气超高的学练机，让孩子学习更高效。不管是预习复习，还是拓展提升，都超实用。适合家有学生娃的家长们，闭眼入不亏，能帮咱轻松搞定娃的学习难题，让孩子成绩蹭蹭涨📈  。,,,,
JMGO坚果投影,84103,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/7b628085e66541e5af4afd216093e39f_CED11111.jpeg,17303716741,购物,家用电器,坚果投影仪,4.1,￥5274/人,收录5年好店,JMGO坚果投影主打各种超高清投影设备✨。店铺风格简约时尚，装修很有科技感。人气单品那必须是坚果投影仪，画面清晰，色彩超棒👍。不管是在家看电影、追剧，还是玩游戏，体验感都超赞！适合爱宅家享受大屏视听的宝子们，有了它，瞬间拥有私人家庭影院，快乐加倍，赶紧冲呀！,,,,
TRENDIANO,84119,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/6855860ef9464ffba4026465025ff688_b418629de5d79807745c350fe13bf69d.jpeg,18638518761,购物,服装,"男装,女装,童装,配饰,鞋履",3.5,￥350/人,收录5年好店,TRENDIANO风格超酷炫，装修超有个性，一进去就被吸引。主打时尚潮流服饰，款式超多样。人气单品更是绝绝子，像潮流T恤、个性牛仔裤，上身超吸睛。适合追求时尚、爱展现独特魅力的宝子们。每次逛都能挑到心仪的，穿上它，你就是街头最靓的仔，赶紧冲！,,,,
MELAND亲子乐园•派对•研学,84216,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/d4c1c75428b14bae8f65b9959be1ec73_4f5d32619518f4e06c5ddcfa6eac104a.jpeg,18224538648,休闲娱乐,"儿童游乐场,儿童研学,儿童主题派对","亲子游乐设施体验,儿童派对举办,儿童研学活动组织,休闲娱乐场地租赁",4.8,￥126/人,郑州儿童乐园热门榜第2名,MELAND亲子乐园•派对•研学一进去就被梦幻的装修吸引，各种主题场景超有氛围感。他家主打亲子互动体验，有超刺激的游乐设施，还有丰富的研学活动。人气单品“海洋球池”，孩子能在里面尽情撒欢。不管是日常遛娃还是办派对，这里都超合适，能让宝贝和家长都玩得超开心，赶紧冲！ ,,,,
净醒洁面·超有面,84995,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/94558f2066cc4c37bde0bdd738ad89f0_75c62b2c91b29c95ad3156dbed16a423.jpeg,17613150888,生活服务,美容护肤,"洁面服务,皮肤清洁护理,面部清洁保养",4.6,￥90/人,正弘中心美容美体回头客榜第1名,净醒洁面·超有面主打专业洁面，能深层清洁毛孔，让肌肤清清爽爽。店铺风格简约又舒适，装修很有特色。人气单品超多，洗脸手法超赞，洗得那叫一个干净舒服。不管你是油皮、干皮还是混合皮，都能在这里找到适合自己的洁面护理。快来净醒洁面，给肌肤来一场奢华清洁之旅吧！,,,,
斐乐儿童专柜,84016,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/c2995d1f27c34f23800b078a9c070f88_48dc945535429e8f067de897879d37b6.jpeg,15039070693,购物,服装零售,"儿童运动服装,儿童运动鞋,儿童运动配件",3.9,￥299/人,收录2年好店,斐乐儿童专柜店铺风格时尚活力，装修超有童趣✨。他家主打运动风童装，款式超丰富。像经典的小怪兽系列，萌趣又个性😜。人气单品的质量更是没得说，面料舒适，做工精细👍。不管是日常出街还是运动玩耍，都能让宝贝们轻松成为焦点，超适合爱运动又追求时尚的萌娃们，快冲呀！,,,,
FILA KIDS,84016,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/c2995d1f27c34f23800b078a9c070f88_48dc945535429e8f067de897879d37b6.jpeg,15039070693,购物,运动品牌,"儿童运动服装,儿童运动鞋,儿童运动背包,儿童运动配饰",3.5,￥299/人,收录6年好店,FILA KIDS店铺风格时尚活力，装修超有童趣🎈。他家主打儿童运动休闲服饰，款式超丰富。像老爹鞋、运动套装都是人气单品🔥。面料舒适，品质超棒👍。不管是日常出街还是运动玩耍，宝贝穿上都超有型。孩子喜欢，咱当妈的也省心，赶紧带娃来挑挑吧！ ,,,,
CGV影城,84228,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/d9d128c07bff483a8894859325f4dc53_721fbe599bff6d7a3e6f25f1d66a5ca6.jpeg,19939700473,休闲娱乐,电影院,"电影放映,3D电影放映,IMAX电影放映,电影周边售卖,影厅场地租赁",4.8,￥50/人,,CGV影城真的超绝一走进就被那超有氛围感的装修吸引，宽敞舒适的座椅，超大超清晰的屏幕，视听体验直接拉满！他家主打各种热门大片的沉浸式观影。人气单品就是那震撼的4DX影厅，随着剧情座椅会动，还有风、雨、闪电等特效，仿佛置身电影世界。不管是情侣约会还是朋友聚会，来这都超合适，分分钟种草，赶紧冲呀！ ,,,,
德施曼智能锁,84865,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/dc882dd5816e4493967f5264ad3a374d_6180c5458891697348089449ebd48f33.jpeg,19339902011,购物,智能家居用品,智能锁,4.4,￥2500/人,金水区家具家居好评榜第6名,德施曼智能锁的锁超有科技感，外观简约大气，很百搭。主打产品智能又安全，指纹识别超快超准，还有多种开锁方式。店铺风格简洁现代，装修很有质感。人气单品 R7P 更是绝绝子，可视猫眼超清晰，门外情况一目了然。真的超适合追求便捷安全生活的宝子们，入手他家智能锁，安全感直接拉满！,,,,
名创优品,84600,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/f9ea4a1fd1ad4a968900e931e852e389_%E5%90%8D%E5%88%9B%E4%BC%98%E5%93%81%28MINISO%29.png,,购物,家居用品,"美妆护肤产品,家居用品,饰品,毛绒玩具,生活用品",4.1,￥45/人,建业凯旋广场购物热门榜第7名,名创优品家店铺风格简约时尚，装修超有氛围感。主打产品超多，从可爱小摆件到实用家居好物，啥都有。人气单品更是数不过来，比如那毛茸茸的玩偶🧸，软乎乎超治愈；还有各种香味的香薰，闻着超放松。不管是学生党还是上班族，都能在这挑到心仪好物，每次逛都能收获满满，真的爱了！💕 ,,,,
正弘城曼卡龙,85123,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/692675c6c3c741a087d748bfd09d92e1_%E9%BB%98%E8%AE%A4logo.png,,购物,珠宝首饰,"黄金首饰,珠宝饰品,钻石饰品,翡翠饰品,K金饰品",3.9,￥667/人,,正弘城的曼卡龙超绝装修精致，风格时尚。主打各种美美的珠宝首饰，款式超多样。人气单品有很多，像小蝴蝶项链，灵动又吸睛。还有梦幻的手链，戴上超显气质。不管是日常佩戴还是送人都超合适。店员超热情专业，会耐心给你介绍。在这里，能轻松挑到心仪的珠宝，爱美的姐妹一定要来逛逛！,,,,
MLB,84040,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/89585ed608894ede9efed9f723b8a7b5_%E6%98%AF.jpeg,15544118990,购物,"鞋类,服饰,箱包","棒球帽,休闲服装,运动鞋,运动背包,时尚配饰",3.3,￥500/人,正弘中心服饰鞋包人气榜第4名,MLB主打美式街头风，装修超有特色，一进店就像置身潮流街区。人气单品超多，比如经典老花系列，帽子、包包都超好看。衣服款式也很丰富，T恤、卫衣、外套啥的，时尚又百搭。无论你是时尚弄潮儿，还是想日常穿搭更出彩，来这都能挑到心头好，轻松get潮流范，赶紧冲！,,,,
LESS&MORE多少定制·西服礼服高级定制,83971,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/8617c40d7b8f4e2fa7aba4a4fdcfeafb_b903869610b285b35bc99f5de6da50ee.jpeg,15893883172,生活服务,服装定制,"西服定制,礼服定制",4.8,￥2782/人,郑州西服定制热门榜第1名,LESS&MORE多少定制·西服礼服高级定制，超赞！他家主打西服礼服定制，店铺风格简约大气。装修很有格调，细节满满✨。人气单品超多，每一款都能精准戳中审美。定制流程超贴心，从量体到设计，都能满足你的个性化需求。无论是商务场合还是婚礼等重要时刻，在这里都能定制到合适的服装，上班族、准新人都别错过，来这定制属于你的专属战袍！,,,,
